Sua idade?,Estudante da Unoesc Chapecó?,Trabalha?,Estado em que votou?,Candidato a presidente que você votou no primeiro turno,Candidato a presidente que você NÃO votaria de jeito algum?
25,S,S,SC,Amoedo,Ciro Gomes
20,S,S,SC,Geraldo Alckmin,Ciro Gomes
26,S,S,SC,Jair Bolsonaro,Ciro Gomes
19,S,S,RS,Amoedo,Fernando Haddad
22,S,S,SC,Amoedo,Fernando Haddad
27,S,S,SC,Amoedo,Fernando Haddad
27,S,S,SC,Amoedo,Fernando Haddad
19,S,S,SC,Ciro Gomes,Fernando Haddad
22,S,S,SC,Ciro Gomes,Fernando Haddad
17,S,N,RS,Jair Bolsonaro,Fernando Haddad
18,S,S,SC,Jair Bolsonaro,Fernando Haddad
19,S,N,SC,Jair Bolsonaro,Fernando Haddad
19,S,S,SC,Jair Bolsonaro,Fernando Haddad
19,S,S,SC,Jair Bolsonaro,Fernando Haddad
19,S,S,SC,Jair Bolsonaro,Fernando Haddad
19,S,S,SC,Jair Bolsonaro,Fernando Haddad
19,S,S,SC,Jair Bolsonaro,Fernando Haddad
19,S,S,SC,Jair Bolsonaro,Fernando Haddad
19,S,S,SC,Jair Bolsonaro,Fernando Haddad
19,S,S,SC,Jair Bolsonaro,Fernando Haddad
19,S,S,SC,Jair Bolsonaro,Fernando Haddad
20,S,S,SC,Jair Bolsonaro,Fernando Haddad
21,S,N,SC,Jair Bolsonaro,Fernando Haddad
21,S,S,SC,Jair Bolsonaro,Fernando Haddad
21,S,S,SC,Jair Bolsonaro,Fernando Haddad
21,S,S,SC,Jair Bolsonaro,Fernando Haddad
21,S,S,SC,Jair Bolsonaro,Fernando Haddad
22,S,N,SC,Jair Bolsonaro,Fernando Haddad
22,S,S,SC,Jair Bolsonaro,Fernando Haddad
22,S,S,SC,Jair Bolsonaro,Fernando Haddad
22,S,S,SC,Jair Bolsonaro,Fernando Haddad
22,S,S,SC,Jair Bolsonaro,Fernando Haddad
22,S,S,SC,Jair Bolsonaro,Fernando Haddad
23,S,S,SC,Jair Bolsonaro,Fernando Haddad
25,S,S,SC,Jair Bolsonaro,Fernando Haddad
25,S,S,SC,Jair Bolsonaro,Fernando Haddad
26,S,S,SC,Jair Bolsonaro,Fernando Haddad
33,S,N,SC,Jair Bolsonaro,Fernando Haddad
35,N,S,SC,Jair Bolsonaro,Fernando Haddad
37,S,S,SC,Jair Bolsonaro,Fernando Haddad
19,S,S,SC,Ciro Gomes,Geraldo Alckmin
26,N,S,SC,Fernando Haddad,Geraldo Alckmin
27,N,S,SC,Fernando Haddad,Geraldo Alckmin
18,S,S,SC,Jair Bolsonaro,Geraldo Alckmin
21,S,S,SC,Jair Bolsonaro,Geraldo Alckmin
26,N,S,SC,Jair Bolsonaro,Geraldo Alckmin
33,N,S,SC,Jair Bolsonaro,Geraldo Alckmin
19,S,N,SC,Amoedo,Jair Bolsonaro
19,S,N,SC,Amoedo,Jair Bolsonaro
18,S,N,SC,Ciro Gomes,Jair Bolsonaro
19,S,N,SC,Ciro Gomes,Jair Bolsonaro
19,S,N,SC,Ciro Gomes,Jair Bolsonaro
20,S,S,SC,Ciro Gomes,Jair Bolsonaro
20,S,S,SC,Ciro Gomes,Jair Bolsonaro
21,S,N,SC,Ciro Gomes,Jair Bolsonaro
21,S,S,SC,Ciro Gomes,Jair Bolsonaro
22,S,S,RS,Ciro Gomes,Jair Bolsonaro
22,S,S,SC,Ciro Gomes,Jair Bolsonaro
19,S,N,SC,Fernando Haddad,Jair Bolsonaro
20,S,S,SC,Fernando Haddad,Jair Bolsonaro
20,S,S,SC,Fernando Haddad,Jair Bolsonaro
20,S,S,SC,Fernando Haddad,Jair Bolsonaro
21,S,S,SC,Fernando Haddad,Jair Bolsonaro
22,S,S,SC,Fernando Haddad,Jair Bolsonaro
21,S,S,SC,Jair Bolsonaro,Jair Bolsonaro
21,S,S,SC,Jair Bolsonaro,Jair Bolsonaro
22,S,S,SC,Jair Bolsonaro,Jair Bolsonaro
37,S,S,RS,Jair Bolsonaro,Jair Bolsonaro
